"Feature","Importance"
"PassengerId",0.572263483145613
"Pclass",9.71719591700596
"Name",0.517683124508072
"Sex",24.0785855886678
"Age",8.87563231274994
"SibSp",6.76570813198625
"Parch",5.14045619013506
"Ticket",8.64681445423434
"Fare",6.45805812678901
"EmbarkedC",1.86542657100076
"EmbarkedQ",0.740975092393468
"EmbarkedS",3.04321821524862
